,paragraph_id,sentence_id,course,essay_new,annotated_sentence,full_error_tag,error_tag,correction,error,target,source,correction_index,new_error_type,final_evident_index,target_sentence,source_sentence
225,582,1580a03683389d47c3c2d0e641c310c9122f9e8f3f16d95e3abf44763098bcd2,SPA 3,Va hido por Michael cosas ppr un niña que nomad tiene viente cinco años.,Va hido por Michael cosas ppr [un]{una}<ga:fm:det:an> niña que nomad tiene viente cinco años.,[un]{una}<ga:fm:det:an>,ga:fm:det:an,una,un,"['Va', 'hido', 'por', 'Michael', 'cosas', 'ppr', 'una', 'niña', 'que', 'nomad', 'tiene', 'viente', 'cinco', 'años', '.']","['Va', 'hido', 'por', 'Michael', 'cosas', 'ppr', 'un', 'niña', 'que', 'nomad', 'tiene', 'viente', 'cinco', 'años', '.']","[6, 22]",gender agreement,"[7, 23]",Va hido por Michael cosas ppr una niña que nomad tiene viente cinco años.,Va hido por Michael cosas ppr un niña que nomad tiene viente cinco años.
226,582,60d7c6b81de357c9e0335acfb0b8d8129e9f6dae08f46e6b74a1663cffd6f816,SPA 3,Es bueno que su mejor amiga le dio un pedaso de su propia riñon.,Es bueno que su mejor amiga le dio un pedaso de su [propia]{propio}<ga:mf:det:inan> riñon.,[propia]{propio}<ga:mf:det:inan>,ga:mf:det:inan,propio,propia,"['Es', 'bueno', 'que', 'su', 'mejor', 'amiga', 'le', 'dio', 'un', 'pedaso', 'de', 'su', 'propio', 'riñon', '.']","['Es', 'bueno', 'que', 'su', 'mejor', 'amiga', 'le', 'dio', 'un', 'pedaso', 'de', 'su', 'propia', 'riñon', '.']","[12, 28]",gender agreement,"[10, 14, 26, 30]",Es bueno que su mejor amiga le dio un pedaso de su propio riñon.,Es bueno que su mejor amiga le dio un pedaso de su propia riñon.
227,582,c681c1f3de3df26edc91d5865c7b9e7af7cbbeb93d88bf80c202a0bc4de4825b,SPA 3,Con el siempre we juntaban y despues no estaban juntas.,Con el siempre we juntaban y despues no estaban [juntas]{juntos}<ga:mf:adj:an>.,[juntas]{juntos}<ga:mf:adj:an>,ga:mf:adj:an,juntos,juntas,"['Con', 'el', 'siempre', 'we', 'juntaban', 'y', 'despues', 'no', 'estaban', 'juntos', '.']","['Con', 'el', 'siempre', 'we', 'juntaban', 'y', 'despues', 'no', 'estaban', 'juntas', '.']","[9, 21]",gender agreement,"[2, 3, 4, 5, 6, 7, 8, 14, 15, 16, 17, 18, 19, 20]",Con el siempre we juntaban y despues no estaban juntos.,Con el siempre we juntaban y despues no estaban juntas.
228,585,ea6de6ee9c6be6ac46ffd16a739b407f3434fa8dd7f97d19839c54a42a5926d2,SPA 3,El más joven en la historia de la compañía.,[El]{la}<ga:fm:det:an> más joven en la historia de la compañía.,[El]{la}<ga:fm:det:an>,ga:fm:det:an,la,El,"['la', 'más', 'joven', 'en', 'la', 'historia', 'de', 'la', 'compañía', '.']","['El', 'más', 'joven', 'en', 'la', 'historia', 'de', 'la', 'compañía', '.']","[0, 11]",gender agreement,"[1, 2, 4, 7, 12, 13, 15, 18]",la más joven en la historia de la compañía.,El más joven en la historia de la compañía.
229,586,63a90adf25d9baed0a3c63d7d7e81ebb526a4bae962b2ed06b35ff7da51a0bff,SPA 1,En los fines de semanas les gustan tocar instrumentos y cantar con sus amigos.,En los fines de [semanas]{semana}<na:sp:noun:inan> les gustan tocar instrumentos y cantar con sus amigos.,[semanas]{semana}<na:sp:noun:inan>,na:sp:noun:inan,semana,semanas,"['En', 'los', 'fines', 'de', 'semana', 'les', 'gustan', 'tocar', 'instrumentos', 'y', 'cantar', 'con', 'sus', 'amigos', '.']","['En', 'los', 'fines', 'de', 'semanas', 'les', 'gustan', 'tocar', 'instrumentos', 'y', 'cantar', 'con', 'sus', 'amigos', '.']","[4, 20]",number agreement,"[2, 3, 18, 19]",En los fines de semana les gustan tocar instrumentos y cantar con sus amigos.,En los fines de semanas les gustan tocar instrumentos y cantar con sus amigos.
230,588,fcb497668621d5eb1bd787851d8b308176472abbab7275f47227b57bd56d419a,SPA 3,Natalie Portman es también un modelo.,Natalie Portman es también [un]{una}<ga:fm:det:an> modelo.,[un]{una}<ga:fm:det:an>,ga:fm:det:an,una,un,"['Natalie', 'Portman', 'es', 'también', 'una', 'modelo', '.']","['Natalie', 'Portman', 'es', 'también', 'un', 'modelo', '.']","[4, 12]",gender agreement,"[0, 1, 2, 3, 5, 8, 9, 10, 11, 13]",Natalie Portman es también una modelo.,Natalie Portman es también un modelo.
231,588,37998064b3285c31a9b3ba11b2157ec91ac62550f3eff45ea971edaaf7403000,SPA 3,Lo vi con mi novio en los cines.,[Lo]{la}<ga:fm:pron:inan> vi con mi novio en los cines.,[Lo]{la}<ga:fm:pron:inan>,ga:fm:pron:inan,la,Lo,"['la', 'vi', 'con', 'mi', 'novio', 'en', 'los', 'cines', '.']","['Lo', 'vi', 'con', 'mi', 'novio', 'en', 'los', 'cines', '.']","[0, 10]",gender agreement,"[2, 3, 4, 12, 13, 14]",la vi con mi novio en los cines.,Lo vi con mi novio en los cines.
232,589,ad7c367d08ea5a42bb1a40c63bcfb2ad94a599e2ef79e18a9b36214b420c4488,SPA 2,Me llamo *FIRST_NAME* y me gusta ver peliculas en la cine.,Me llamo *FIRST_NAME* y me gusta ver peliculas en [la]{el}<ga:mf:det:inan> cine.,[la]{el}<ga:mf:det:inan>,ga:mf:det:inan,el,la,"['Me', 'llamo', '*', 'FIRST_NAME', '*', 'y', 'me', 'gusta', 'ver', 'peliculas', 'en', 'el', 'cine', '.']","['Me', 'llamo', '*', 'FIRST_NAME', '*', 'y', 'me', 'gusta', 'ver', 'peliculas', 'en', 'la', 'cine', '.']","[11, 26]",gender agreement,"[13, 28]",Me llamo *FIRST_NAME* y me gusta ver peliculas en el cine.,Me llamo *FIRST_NAME* y me gusta ver peliculas en la cine.
233,589,31c650aba92b7c9ec5fa54d9089e93db02a1b98e1a0ce865bba269e737a4e998,SPA 2,Todos tiene Leonardo Dicaprio.,[Todos]{todas}<ga:fm:pron:inan> tiene Leonardo Dicaprio.,[Todos]{todas}<ga:fm:pron:inan>,ga:fm:pron:inan,todas,Todos,"['todas', 'tiene', 'Leonardo', 'Dicaprio', '.']","['Todos', 'tiene', 'Leonardo', 'Dicaprio', '.']","[0, 6]",gender agreement,"[1, 7]",todas tiene Leonardo Dicaprio.,Todos tiene Leonardo Dicaprio.
234,589,2a8e66188f4c1061727593115dffcbe45a9a48ad41ad484d8c026792cac33c62,SPA 2,El puede jugar diferente roles.,El puede jugar [diferente]{diferentes}<na:ps:det:inan> roles.,[diferente]{diferentes}<na:ps:det:inan>,na:ps:det:inan,diferentes,diferente,"['El', 'puede', 'jugar', 'diferentes', 'roles', '.']","['El', 'puede', 'jugar', 'diferente', 'roles', '.']","[3, 10]",number agreement,"[2, 4, 9, 11]",El puede jugar diferentes roles.,El puede jugar diferente roles.
235,589,fe625c24a9e4158d89701638aeb1af253c622965bb397862298f888e8d139fd5,SPA 2,En “The Wolf of Wall Street” le encanta los drogas y esta loco en la mayor de la pelicula.,En “The Wolf of Wall Street” le encanta [los]{las}<ga:fm:det:inan> drogas y esta loco en la mayor de la pelicula.,[los]{las}<ga:fm:det:inan>,ga:fm:det:inan,las,los,"['En', '“', 'The', 'Wolf', 'of', 'Wall', 'Street', '”', 'le', 'encanta', 'las', 'drogas', 'y', 'esta', 'loco', 'en', 'la', 'mayor', 'de', 'la', 'pelicula', '.']","['En', '“', 'The', 'Wolf', 'of', 'Wall', 'Street', '”', 'le', 'encanta', 'los', 'drogas', 'y', 'esta', 'loco', 'en', 'la', 'mayor', 'de', 'la', 'pelicula', '.']","[10, 33]",gender agreement,"[13, 14, 36, 37]",En “ The Wolf of Wall Street ” le encanta las drogas y esta loco en la mayor de la pelicula.,En “ The Wolf of Wall Street ” le encanta los drogas y esta loco en la mayor de la pelicula.
237,594,75de02efe0b967391b80c2762a179d0ea6dc8dcb724bfe711043c3f66fd1b69b,SPA 3,Me gusta que ella puede ser comica a veces y seria a otros veces.,Me gusta que ella puede ser comica a veces y seria a [otros]{otras}<ga:fm:det:inan> veces.,[otros]{otras}<ga:fm:det:inan>,ga:fm:det:inan,otras,otros,"['Me', 'gusta', 'que', 'ella', 'puede', 'ser', 'comica', 'a', 'veces', 'y', 'seria', 'a', 'otras', 'veces', '.']","['Me', 'gusta', 'que', 'ella', 'puede', 'ser', 'comica', 'a', 'veces', 'y', 'seria', 'a', 'otros', 'veces', '.']","[12, 28]",gender agreement,"[15, 16, 31, 32]",Me gusta que ella puede ser comica a veces y seria a otras veces.,Me gusta que ella puede ser comica a veces y seria a otros veces.
238,594,e9705ff6566af497194c4d4a303f80e13393f668078f1dabd87a8132ff1dfb41,SPA 3,En 2007 ella era uno de las actrices con las más dinero de Hollywood.,En 2007 ella era [uno]{una}<ga:fm:pron:an> de las actrices con las más dinero de Hollywood.,[uno]{una}<ga:fm:pron:an>,ga:fm:pron:an,una,uno,"['En', '2007', 'ella', 'era', 'una', 'de', 'las', 'actrices', 'con', 'las', 'más', 'dinero', 'de', 'Hollywood', '.']","['En', '2007', 'ella', 'era', 'uno', 'de', 'las', 'actrices', 'con', 'las', 'más', 'dinero', 'de', 'Hollywood', '.']","[4, 20]",gender agreement,"[2, 5, 6, 7, 18, 21, 22, 23]",En 2007 ella era una de las actrices con las más dinero de Hollywood.,En 2007 ella era uno de las actrices con las más dinero de Hollywood.
239,594,54a56958b95f47b3f237f884008f7421aa7fd0f6a96fab343f9d014a5664b308,SPA 3,En 2010 ella era uno de los cien Time People of the Year.,En 2010 ella era [uno]{una}<ga:fm:pron:an> de los cien Time People of the Year.,[uno]{una}<ga:fm:pron:an>,ga:fm:pron:an,una,uno,"['En', '2010', 'ella', 'era', 'una', 'de', 'los', 'cien', 'Time', 'People', 'of', 'the', 'Year', '.']","['En', '2010', 'ella', 'era', 'uno', 'de', 'los', 'cien', 'Time', 'People', 'of', 'the', 'Year', '.']","[4, 19]",gender agreement,"[2, 5, 17, 20]",En 2010 ella era una de los cien Time People of the Year.,En 2010 ella era uno de los cien Time People of the Year.
240,594,4f2a02958a07d9e9ed518f02496cd4771676fddb2843623b662374cab13c9686,SPA 3,Despues ella fue a New York para audicionar y ser un actriz.,Despues ella fue a New York para audicionar y ser [un]{una}<ga:fm:det:an> actriz.,[un]{una}<ga:fm:det:an>,ga:fm:det:an,una,un,"['Despues', 'ella', 'fue', 'a', 'New', 'York', 'para', 'audicionar', 'y', 'ser', 'una', 'actriz', '.']","['Despues', 'ella', 'fue', 'a', 'New', 'York', 'para', 'audicionar', 'y', 'ser', 'un', 'actriz', '.']","[10, 24]",gender agreement,"[12, 13, 26, 27]",Despues ella fue a New York para audicionar y ser una actriz.,Despues ella fue a New York para audicionar y ser un actriz.
241,594,dc6be6324d4ea00d1acfb22391c5380e85561f5f5ebb9af9e41630890c8e0a6b,SPA 3,Ella tenía un esposo que llama Jesse James pero ellos son apartado.,Ella tenía un esposo que llama Jesse James pero ellos son [apartado]{apartados}<na:ps:adj:an>.,[apartado]{apartados}<na:ps:adj:an>,na:ps:adj:an,apartados,apartado,"['Ella', 'tenía', 'un', 'esposo', 'que', 'llama', 'Jesse', 'James', 'pero', 'ellos', 'son', 'apartados', '.']","['Ella', 'tenía', 'un', 'esposo', 'que', 'llama', 'Jesse', 'James', 'pero', 'ellos', 'son', 'apartado', '.']","[11, 25]",number agreement,"[12, 13, 26, 27]",Ella tenía un esposo que llama Jesse James pero ellos son apartados.,Ella tenía un esposo que llama Jesse James pero ellos son apartado.
243,594,e5d3bd17e8db57c1ec89063857c5a1208e21743072bfd4e55f3ad058adb93c46,SPA 3,En mi opinión ella es una buena actriz y tiene muy buena películas.,En mi opinión ella es una buena actriz y tiene muy [buena]{buenas}<na:ps:adj:inan> películas.,[buena]{buenas}<na:ps:adj:inan>,na:ps:adj:inan,buenas,buena,"['En', 'mi', 'opinión', 'ella', 'es', 'una', 'buena', 'actriz', 'y', 'tiene', 'muy', 'buenas', 'películas', '.']","['En', 'mi', 'opinión', 'ella', 'es', 'una', 'buena', 'actriz', 'y', 'tiene', 'muy', 'buena', 'películas', '.']","[11, 26]",number agreement,"[13, 15, 28, 30]",En mi opinión ella es una buena actriz y tiene muy buenas películas.,En mi opinión ella es una buena actriz y tiene muy buena películas.
244,594,ac5696c623387797be293a5b9c7774588be13bb9356b87d35979704e8200d314,SPA 3,Otros buen actores en sus películas son Ryan Reynolds y Melissa McCarthy.,Otros [buen]{buenos}<na:ps:adj:an> actores en sus películas son Ryan Reynolds y Melissa McCarthy.,[buen]{buenos}<na:ps:adj:an>,na:ps:adj:an,buenos,buen,"['Otros', 'buenos', 'actores', 'en', 'sus', 'películas', 'son', 'Ryan', 'Reynolds', 'y', 'Melissa', 'McCarthy', '.']","['Otros', 'buen', 'actores', 'en', 'sus', 'películas', 'son', 'Ryan', 'Reynolds', 'y', 'Melissa', 'McCarthy', '.']","[1, 15]",number agreement,"[2, 16]",Otros buenos actores en sus películas son Ryan Reynolds y Melissa McCarthy.,Otros buen actores en sus películas son Ryan Reynolds y Melissa McCarthy.
245,594,81271e9da7f6def23185312c996ea1ba27a7450f9464798a8f07c9917522a58e,SPA 3,Los dos son muy comico.,Los dos son muy [comico]{cómicos}<na:ps:adj:an>.,[comico]{cómicos}<na:ps:adj:an>,na:ps:adj:an,cómicos,comico,"['Los', 'dos', 'son', 'muy', 'cómicos', '.']","['Los', 'dos', 'son', 'muy', 'comico', '.']","[4, 11]",number agreement,"[0, 1, 2, 7, 8, 9]",Los dos son muy cómicos.,Los dos son muy comico.
246,596,086be82a628900a2f3e7312aab44ca7c273d1b1b2e3e95bb05aa3a36db108041,SPA 2,"Dian le gustaban animales y quería estudiar los animales en escuela, pero su padres quería Dian estudiar los negocios.","Dian le gustaban animales y quería estudiar los animales en escuela, pero [su]{sus}<na:ps:det:an> padres quería Dian estudiar los negocios.",[su]{sus}<na:ps:det:an>,na:ps:det:an,sus,su,"['Dian', 'le', 'gustaban', 'animales', 'y', 'quería', 'estudiar', 'los', 'animales', 'en', 'escuela', ',', 'pero', 'sus', 'padres', 'quería', 'Dian', 'estudiar', 'los', 'negocios', '.']","['Dian', 'le', 'gustaban', 'animales', 'y', 'quería', 'estudiar', 'los', 'animales', 'en', 'escuela', ',', 'pero', 'su', 'padres', 'quería', 'Dian', 'estudiar', 'los', 'negocios', '.']","[13, 35]",number agreement,"[19, 20, 41, 42]","Dian le gustaban animales y quería estudiar los animales en escuela, pero sus padres quería Dian estudiar los negocios.","Dian le gustaban animales y quería estudiar los animales en escuela, pero su padres quería Dian estudiar los negocios."
247,596,34599d6d77a802ab8619bf265e966dda14355ad4faa8616d3612a49d07ec2532,SPA 2,"Después de tres años, volvía a África con otras científicos para estudiar la biología de los gorilas.","Después de tres años, volvía a África con [otras]{otros}<ga:mf:det:an> científicos para estudiar la biología de los gorilas.",[otras]{otros}<ga:mf:det:an>,ga:mf:det:an,otros,otras,"['Después', 'de', 'tres', 'años', ',', 'volvía', 'a', 'África', 'con', 'otros', 'científicos', 'para', 'estudiar', 'la', 'biología', 'de', 'los', 'gorilas', '.']","['Después', 'de', 'tres', 'años', ',', 'volvía', 'a', 'África', 'con', 'otras', 'científicos', 'para', 'estudiar', 'la', 'biología', 'de', 'los', 'gorilas', '.']","[9, 29]",gender agreement,"[7, 8, 10, 27, 28, 30]","Después de tres años, volvía a África con otros científicos para estudiar la biología de los gorilas.","Después de tres años, volvía a África con otras científicos para estudiar la biología de los gorilas."
248,596,8f5b4198f891a05f289d45be5eb294215e563e516c7220a7fda270bde4543228,SPA 2,Ella empezaba trabajar con las gorilas después de encontraba los grupos de gorilas.,Ella empezaba trabajar con [las]{los}<ga:mf:det:inan> gorilas después de encontraba los grupos de gorilas.,[las]{los}<ga:mf:det:inan>,ga:mf:det:inan,los,las,"['Ella', 'empezaba', 'trabajar', 'con', 'los', 'gorilas', 'después', 'de', 'encontraba', 'los', 'grupos', 'de', 'gorilas', '.']","['Ella', 'empezaba', 'trabajar', 'con', 'las', 'gorilas', 'después', 'de', 'encontraba', 'los', 'grupos', 'de', 'gorilas', '.']","[4, 19]",gender agreement,"[5, 20]",Ella empezaba trabajar con los gorilas después de encontraba los grupos de gorilas.,Ella empezaba trabajar con las gorilas después de encontraba los grupos de gorilas.
249,596,903ed262eb0e498a8ebd8ec65d415e9d307b816643d9e3208d4d1aad119d9578,SPA 2,"Después del tiempo, ella se comunicaba con las gorilas y los gorilas les gustaba Dian.","Después del tiempo, ella se comunicaba con [las]{los}<ga:mf:det:inan> gorilas y los gorilas les gustaba Dian.",[las]{los}<ga:mf:det:inan>,ga:mf:det:inan,los,las,"['Después', 'del', 'tiempo', ',', 'ella', 'se', 'comunicaba', 'con', 'los', 'gorilas', 'y', 'los', 'gorilas', 'les', 'gustaba', 'Dian', '.']","['Después', 'del', 'tiempo', ',', 'ella', 'se', 'comunicaba', 'con', 'las', 'gorilas', 'y', 'los', 'gorilas', 'les', 'gustaba', 'Dian', '.']","[8, 26]",gender agreement,"[6, 7, 24, 25]","Después del tiempo, ella se comunicaba con los gorilas y los gorilas les gustaba Dian.","Después del tiempo, ella se comunicaba con las gorilas y los gorilas les gustaba Dian."
250,596,ffd638f18147cc2c2ea52df39aea5eaa76e5206298df7d512744c414306033c0,SPA 2,"Mientras que en África, fue asesinada por las personas que mata las gorilas.","Mientras que en África, fue asesinada por las personas que mata [las]{los}<ga:mf:det:inan> gorilas.",[las]{los}<ga:mf:det:inan>,ga:mf:det:inan,los,las,"['Mientras', 'que', 'en', 'África', ',', 'fue', 'asesinada', 'por', 'las', 'personas', 'que', 'mata', 'los', 'gorilas', '.']","['Mientras', 'que', 'en', 'África', ',', 'fue', 'asesinada', 'por', 'las', 'personas', 'que', 'mata', 'las', 'gorilas', '.']","[12, 28]",gender agreement,"[11, 13, 27, 29]","Mientras que en África, fue asesinada por las personas que mata los gorilas.","Mientras que en África, fue asesinada por las personas que mata las gorilas."
251,598,2154c7bbe199d8bb96dcbee6a84e634c8722a347937a2d9b5bc174bfdfb3c74f,SPA 3,El actuó en muchos películas de accion y tambien de la comedia.,El actuó en [muchos]{muchas}<ga:fm:det:inan> películas de accion y tambien de la comedia.,[muchos]{muchas}<ga:fm:det:inan>,ga:fm:det:inan,muchas,muchos,"['El', 'actuó', 'en', 'muchas', 'películas', 'de', 'accion', 'y', 'tambien', 'de', 'la', 'comedia', '.']","['El', 'actuó', 'en', 'muchos', 'películas', 'de', 'accion', 'y', 'tambien', 'de', 'la', 'comedia', '.']","[3, 17]",gender agreement,"[4, 18]",El actuó en muchas películas de accion y tambien de la comedia.,El actuó en muchos películas de accion y tambien de la comedia.
252,598,2c94db09504e8dda2f3d8efe8bb6e98ac8321a799bfa04750840d64e9e19602a,SPA 3,Me interesa mucho los películas de Pual Walker.,Me interesa mucho [los]{las}<ga:fm:det:inan> películas de Pual Walker.,[los]{las}<ga:fm:det:inan>,ga:fm:det:inan,las,los,"['Me', 'interesa', 'mucho', 'las', 'películas', 'de', 'Pual', 'Walker', '.']","['Me', 'interesa', 'mucho', 'los', 'películas', 'de', 'Pual', 'Walker', '.']","[3, 13]",gender agreement,"[2, 4, 12, 14]",Me interesa mucho las películas de Pual Walker.,Me interesa mucho los películas de Pual Walker.
253,600,ed9f1a9ad5b6f51ae7b39dd97a3b80c9512a2a07a3f3234379ad32845323934c,SPA 3,Hermione es mi personaje favorita de estas peliculas porque ella es como yo.,Hermione es mi personaje [favorita]{favorito}<ga:mf:adj:an> de estas peliculas porque ella es como yo.,[favorita]{favorito}<ga:mf:adj:an>,ga:mf:adj:an,favorito,favorita,"['Hermione', 'es', 'mi', 'personaje', 'favorito', 'de', 'estas', 'peliculas', 'porque', 'ella', 'es', 'como', 'yo', '.']","['Hermione', 'es', 'mi', 'personaje', 'favorita', 'de', 'estas', 'peliculas', 'porque', 'ella', 'es', 'como', 'yo', '.']","[4, 19]",gender agreement,"[2, 3, 17, 18]",Hermione es mi personaje favorito de estas peliculas porque ella es como yo.,Hermione es mi personaje favorita de estas peliculas porque ella es como yo.
254,603,7558194fe5409cbb957605548eabfdda937b296bb4772d13ff1dd834513f0902,SPA 2,Muchas gentes están empezando a conocerlo a través de Iron man.,Muchas [gentes]{gente}<in:p:noun:an> están empezando a conocerlo a través de Iron man.,[gentes]{gente}<in:p:noun:an>,in:p:noun:an,gente,gentes,"['Muchas', 'gente', 'están', 'empezando', 'a', 'conocerlo', 'a', 'través', 'de', 'Iron', 'man', '.']","['Muchas', 'gentes', 'están', 'empezando', 'a', 'conocerlo', 'a', 'través', 'de', 'Iron', 'man', '.']","[1, 14]",number agreement,[],Muchas gente están empezando a conocerlo a través de Iron man.,Muchas gentes están empezando a conocerlo a través de Iron man.
255,603,e7134d402b8adeba7fe4064b872ea45a9349613d972baa4055566e4b5c9464ba,SPA 2,"Él también es un cantante, sin embargo, no conozco nigún canción de él.","Él también es un cantante, sin embargo, no conozco [nigún]{ninguna}<ga:fm:det:inan> canción de él.",[nigún]{ninguna}<ga:fm:det:inan>,ga:fm:det:inan,ninguna,nigún,"['Él', 'también', 'es', 'un', 'cantante', ',', 'sin', 'embargo', ',', 'no', 'conozco', 'ninguna', 'canción', 'de', 'él', '.']","['Él', 'también', 'es', 'un', 'cantante', ',', 'sin', 'embargo', ',', 'no', 'conozco', 'nigún', 'canción', 'de', 'él', '.']","[11, 28]",gender agreement,"[7, 8, 9, 10, 24, 25, 26, 27]","Él también es un cantante, sin embargo, no conozco ninguna canción de él.","Él también es un cantante, sin embargo, no conozco nigún canción de él."
256,611,860f25d55304324ecbb0ab4e86121a9c803e4980fd028a1ac3c7ec460fd8b835,SPA 2,"Hoy, estoy yendo hablar a un persona famosa.","Hoy, estoy yendo hablar a [un]{una}<ga:fm:det:an> persona famosa.",[un]{una}<ga:fm:det:an>,ga:fm:det:an,una,un,"['Hoy', ',', 'estoy', 'yendo', 'hablar', 'a', 'una', 'persona', 'famosa', '.']","['Hoy', ',', 'estoy', 'yendo', 'hablar', 'a', 'un', 'persona', 'famosa', '.']","[6, 17]",gender agreement,"[5, 7, 16, 18]","Hoy, estoy yendo hablar a una persona famosa.","Hoy, estoy yendo hablar a un persona famosa."
257,611,d4b9d616d25a893b6e9d0758ea6f87efbb331b3d65d4b16a0ff4d0c8ae28322a,SPA 2,"El mes pesado, Kylie tuviò un hija con Travis Scott.","El mes pesado, Kylie tuviò [un]{una}<ga:fm:det:an> hija con Travis Scott.",[un]{una}<ga:fm:det:an>,ga:fm:det:an,una,un,"['El', 'mes', 'pesado', ',', 'Kylie', 'tuviò', 'una', 'hija', 'con', 'Travis', 'Scott', '.']","['El', 'mes', 'pesado', ',', 'Kylie', 'tuviò', 'un', 'hija', 'con', 'Travis', 'Scott', '.']","[6, 19]",gender agreement,"[7, 8, 20, 21]","El mes pesado, Kylie tuviò una hija con Travis Scott.","El mes pesado, Kylie tuviò un hija con Travis Scott."
258,611,bea0bde5c20013fb7ca409cb9758ea25731dd569f75122a8f83f18f3b3c7994d,SPA 2,"La semana pesada, su hermana Khloe tuvio un hija tambien, se llama True.","La semana pesada, su hermana Khloe tuvio [un]{una}<ga:fm:det:an> hija tambien, se llama True.",[un]{una}<ga:fm:det:an>,ga:fm:det:an,una,un,"['La', 'semana', 'pesada', ',', 'su', 'hermana', 'Khloe', 'tuvio', 'una', 'hija', 'tambien', ',', 'se', 'llama', 'True', '.']","['La', 'semana', 'pesada', ',', 'su', 'hermana', 'Khloe', 'tuvio', 'un', 'hija', 'tambien', ',', 'se', 'llama', 'True', '.']","[8, 25]",gender agreement,"[7, 9, 24, 26]","La semana pesada, su hermana Khloe tuvio una hija tambien, se llama True.","La semana pesada, su hermana Khloe tuvio un hija tambien, se llama True."
259,611,c6b1a9965c6a24d952f77a5f5a7d2cb2754264038417abfccba459696f45ad12,SPA 2,"Kylie esta viendo en Calabasses, un ciudad de Los Angeles.","Kylie esta viendo en Calabasses, [un]{una}<ga:fm:det:inan> ciudad de Los Angeles.",[un]{una}<ga:fm:det:inan>,ga:fm:det:inan,una,un,"['Kylie', 'esta', 'viendo', 'en', 'Calabasses', ',', 'una', 'ciudad', 'de', 'Los', 'Angeles', '.']","['Kylie', 'esta', 'viendo', 'en', 'Calabasses', ',', 'un', 'ciudad', 'de', 'Los', 'Angeles', '.']","[6, 19]",gender agreement,"[7, 8, 20, 21]","Kylie esta viendo en Calabasses, una ciudad de Los Angeles.","Kylie esta viendo en Calabasses, un ciudad de Los Angeles."
260,611,f67a688622578a2de064275b9d6dc804c000562248a23bc0e2dc96ebf10e39dc,SPA 2,Todo la familia viven en Calabasses porque es lejos de la ciudad.,[Todo]{toda}<ga:fm:det:an> la familia viven en Calabasses porque es lejos de la ciudad.,[Todo]{toda}<ga:fm:det:an>,ga:fm:det:an,toda,Todo,"['toda', 'la', 'familia', 'viven', 'en', 'Calabasses', 'porque', 'es', 'lejos', 'de', 'la', 'ciudad', '.']","['Todo', 'la', 'familia', 'viven', 'en', 'Calabasses', 'porque', 'es', 'lejos', 'de', 'la', 'ciudad', '.']","[0, 14]",gender agreement,"[1, 2, 15, 16]",toda la familia viven en Calabasses porque es lejos de la ciudad.,Todo la familia viven en Calabasses porque es lejos de la ciudad.
261,612,b5cb899d27c2d328ec41f43dd74436e030f5445da522c55ed054781fedd5d85e,SPA 2,Esa canciones son mis canciones favoritas.,[Esa]{esas}<na:ps:det:inan> canciones son mis canciones favoritas.,[Esa]{esas}<na:ps:det:inan>,na:ps:det:inan,esas,Esa,"['esas', 'canciones', 'son', 'mis', 'canciones', 'favoritas', '.']","['Esa', 'canciones', 'son', 'mis', 'canciones', 'favoritas', '.']","[0, 8]",number agreement,"[1, 9]",esas canciones son mis canciones favoritas.,Esa canciones son mis canciones favoritas.
262,612,bd2c3a02af8dc5290e078062db358044a78e8b7f8a854f8ae6fef332180630a0,SPA 2,Aquí hay algunos datos interesante sobre ella.,Aquí hay algunos datos [interesante]{interesantes}<na:ps:adj:inan> sobre ella.,[interesante]{interesantes}<na:ps:adj:inan>,na:ps:adj:inan,interesantes,interesante,"['Aquí', 'hay', 'algunos', 'datos', 'interesantes', 'sobre', 'ella', '.']","['Aquí', 'hay', 'algunos', 'datos', 'interesante', 'sobre', 'ella', '.']","[4, 13]",number agreement,"[2, 3, 11, 12]",Aquí hay algunos datos interesantes sobre ella.,Aquí hay algunos datos interesante sobre ella.
264,614,6c9634982c72d3ef4fcab522a48b2256f4dddbf2f5b7fbee580932f5e2bb2927,SPA 2,E'l era un afroamericano musulmán y hizo muchos discursos importantes sobre los derechos de afroamericanos en las Estados Unidos.,E'l era un afroamericano musulmán y hizo muchos discursos importantes sobre los derechos de afroamericanos en [las]{los}<ga:mf:det:inan> Estados Unidos.,[las]{los}<ga:mf:det:inan>,ga:mf:det:inan,los,las,"['E', ""'"", 'l', 'era', 'un', 'afroamericano', 'musulmán', 'y', 'hizo', 'muchos', 'discursos', 'importantes', 'sobre', 'los', 'derechos', 'de', 'afroamericanos', 'en', 'los', 'Estados', 'Unidos', '.']","['E', ""'"", 'l', 'era', 'un', 'afroamericano', 'musulmán', 'y', 'hizo', 'muchos', 'discursos', 'importantes', 'sobre', 'los', 'derechos', 'de', 'afroamericanos', 'en', 'las', 'Estados', 'Unidos', '.']","[18, 41]",gender agreement,"[22, 23, 24, 45, 46, 47]",E' l era un afroamericano musulmán y hizo muchos discursos importantes sobre los derechos de afroamericanos en los Estados Unidos.,E' l era un afroamericano musulmán y hizo muchos discursos importantes sobre los derechos de afroamericanos en las Estados Unidos.
