,paragraph_id,sentence_id,course,essay_new,annotated_sentence,full_error_tag,error_tag,correction,error,target,source,correction_index,new_error_type,raw_evidence
197,265,3fbaf40d2fd4f338fd89d23210820926202637191fc4d8f32f0342f2a54ef44c,SPA 2,Jackie fue a muchos país.,Jackie fue a [muchos]{muchos}<na:sp:det:inan> [país]{países}<na:ps:noun:inan>.,[muchos]{muchos}<na:sp:det:inan>,na:sp:det:inan,muchos,muchos,"['Jackie', 'fue', 'a', 'muchos', 'países', '.']","['Jackie', 'fue', 'a', 'muchos', 'países', '.']","[3, 10]",number agreement,"evidence words = ""a"", ""muchos""
indexes = 2, 3"
323,335,6bb5bd149cc83031e86b1359a9e351e64cc3f5b2ce01cfd514d53243184a3b6f,SPA 3,Ella es una persona muy trabajadora y es respetado por todo el munda.,Ella es una persona muy trabajadora y es [respetado]{respetada}<ga:fm:adj:an> por todo [el]{la}<ga:fm:det:inan> [munda]{mundo}<ig:f:noun:inan>.,[el]{la}<ga:fm:det:inan>,ga:fm:det:inan,la,el,"['Ella', 'es', 'una', 'persona', 'muy', 'trabajadora', 'y', 'es', 'respetada', 'por', 'todo', 'la', 'mundo', '.']","['Ella', 'es', 'una', 'persona', 'muy', 'trabajadora', 'y', 'es', 'respetada', 'por', 'todo', 'el', 'mundo', '.']","[11, 26]",gender agreement,"evidence words = ""persona"", ""el""
indexes = 3, 11"
346,356,fda1286bbea5f78799f3255cb79a0e29f474915534282fa45be740978f9b132d,SPA 2,Mark Zuckerberg trabaja muy duro y le gusta cuando todos los personas también está trabajando muy duro.,Mark Zuckerberg trabaja muy duro y le gusta cuando [todos]{todas}<ga:fm:det:an> [los]{las}<ga:fm:det:an> personas también está trabajando muy duro.,[todos]{todas}<ga:fm:det:an>,ga:fm:det:an,todas,todos,"['Mark', 'Zuckerberg', 'trabaja', 'muy', 'duro', 'y', 'le', 'gusta', 'cuando', 'todas', 'las', 'personas', 'también', 'está', 'trabajando', 'muy', 'duro', '.']","['Mark', 'Zuckerberg', 'trabaja', 'muy', 'duro', 'y', 'le', 'gusta', 'cuando', 'todos', 'las', 'personas', 'también', 'está', 'trabajando', 'muy', 'duro', '.']","[9, 28]",gender agreement,"evidence words = ""todos"", ""las"", ""personas""
indexes = 9, 10, 11"
369,360,ceb7ab6c0c9c1fcdf26f0043eb6876836a4ee519cd5d651f6f2731b076c67233,SPA 1,Ella tiene muchas original canción.,Ella tiene [muchas]{muchas}<na:sp:det:inan> original [canción]{canciones}<na:ps:noun:inan>.,[muchas]{muchas}<na:sp:det:inan>,na:sp:det:inan,muchas,muchas,"['Ella', 'tiene', 'muchas', 'original', 'canciones', '.']","['Ella', 'tiene', 'muchas', 'original', 'canciones', '.']","[2, 9]",number agreement,"evidence words = ""muchas"", ""original""
indexes = 2, 3"
430,409,b3e7cf72f7d728bc1e9369dea364cddd3d8cc070c45737e9a71fea06b92ebe50,SPA 2,"Es más, algunos de su canciones famosos incluye ""Writing on the wall"" para la película de James Bond, ""Spectre"".","Es más, [algunos]{algunas}<ga:fm:pron:inan> de [su]{sus}<na:ps:det:inan> canciones [famosos]{famosas}<ga:fm:adj:inan> incluye ""Writing on the wall"" para la película de James Bond, ""Spectre"".",[famosos]{famosas}<ga:fm:adj:inan>,ga:fm:adj:inan,famosas,famosos,"['Es', 'más', ',', 'algunas', 'de', 'sus', 'canciones', 'famosas', 'incluye', '""', 'Writing', 'on', 'the', 'wall', '""', 'para', 'la', 'película', 'de', 'James', 'Bond', ',', '""', 'Spectre', '""', '.']","['Es', 'más', ',', 'algunas', 'de', 'sus', 'canciones', 'famosos', 'incluye', '""', 'Writing', 'on', 'the', 'wall', '""', 'para', 'la', 'película', 'de', 'James', 'Bond', ',', '""', 'Spectre', '""', '.']","[7, 34]",gender agreement,"evidence words = famosos, canciones
indexes = 7, 5"
1018,969,2d9c25ce969c0cb5bd9b51f8a47349e5304fd7bbe709c4403612a44be3119778,SPA 3,"Me encantan los playas mucho pero la playa perfecto, para mi, tiene la agua azul y la arena blanca.","Me encantan [los]{las}<ga:fm:det:inan> playas mucho pero la playa [perfecto]{perfecta}<ga:fm:adj:inan>, para mi, tiene [la]{el}<ga:mf:det:aty:inan> agua azul y la arena blanca.",[la]{el}<ga:mf:det:aty:inan>,ga:mf:det:aty:inan,el,la,"['Me', 'encantan', 'las', 'playas', 'mucho', 'pero', 'la', 'playa', 'perfecta', ',', 'para', 'mi', ',', 'tiene', 'el', 'agua', 'azul', 'y', 'la', 'arena', 'blanca', '.']","['Me', 'encantan', 'las', 'playas', 'mucho', 'pero', 'la', 'playa', 'perfecta', ',', 'para', 'mi', ',', 'tiene', 'la', 'agua', 'azul', 'y', 'la', 'arena', 'blanca', '.']","[14, 37]",gender agreement,"evidence words = la, agua 
indexes = 20, 21"
112,1077,c0e61d7ee40de1968ec6e84dd85e604d1fe3d88c51327637c683f8b1968aaef6,SPA 2,El bario tiene muchas personas las gentes haría llama “hippies” pero pienso las gentes son muy interesante y simpático.,El bario tiene muchas personas las [gentes]{gente}<in:p:noun:an> haría llama “hippies” pero pienso las [gentes]{gente}<in:p:noun:an> son muy interesante y [simpático]{simpática}<ga:fm:adj:an>.,[simpático]{simpática}<ga:fm:adj:an>,ga:fm:adj:an,simpática,simpático,"['El', 'bario', 'tiene', 'muchas', 'personas', 'las', 'gente', 'haría', 'llama', '“', 'hippies', '”', 'pero', 'pienso', 'las', 'gente', 'son', 'muy', 'interesante', 'y', 'simpática', '.']","['El', 'bario', 'tiene', 'muchas', 'personas', 'las', 'gente', 'haría', 'llama', '“', 'hippies', '”', 'pero', 'pienso', 'las', 'gente', 'son', 'muy', 'interesante', 'y', 'simpático', '.']","[20, 43]",gender agreement,"evidence words = ""las"", ""gente"", ""son"", ""muy"", ""simpático""
indexes = 4, 5, 6, 7, 8"
193,1137,4dc889230c51fb53fa2008f196ac32ef1ae3c8588f4e1ec6323e3a56df482e63,SPA 3,"Para la primera día, espero que comer más comida local.","Para [la]{el}<ga:mf:det:aty:inan> [primera]{primer}<ga:mf:det:aty:inan> día, espero que comer más comida local.",[la]{el}<ga:mf:det:aty:inan>,ga:mf:det:aty:inan,el,la,"['Para', 'el', 'primer', 'día', ',', 'espero', 'que', 'comer', 'más', 'comida', 'local', '.']","['Para', 'la', 'primer', 'día', ',', 'espero', 'que', 'comer', 'más', 'comida', 'local', '.']","[1, 14]",gender agreement,"evidence words = primer, la
indexes = 2, 1"
339,1205,30a647e30eb1c042c314d1c3b3bfa2c9d19db089178a4f912643e8cc59a201e4,SPA 1,Nosotros vemos otros lugares famoso.,[Nosotros]{nosotras}<ga:fm:pron:an> vemos otros lugares [famoso]{famosos}<na:ps:adj:inan>.,[Nosotros]{nosotras}<ga:fm:pron:an>,ga:fm:pron:an,nosotras,Nosotros,"['nosotras', 'vemos', 'otros', 'lugares', 'famosos', '.']","['Nosotros', 'vemos', 'otros', 'lugares', 'famosos', '.']","[0, 7]",gender agreement,"evidence words = ""Nosotros"" 
indexes = 0"
341,1205,ddca439dbc58c89c77ee3910845957961a571cdcad0f857007e0486095ae349b,SPA 1,Nosotros traemos la gata en el resto de la vacaciones.,[Nosotros]{nosotras}<ga:fm:pron:an> traemos la gata en el resto de [la]{las}<na:ps:det:inan> vacaciones.,[Nosotros]{nosotras}<ga:fm:pron:an>,ga:fm:pron:an,nosotras,Nosotros,"['nosotras', 'traemos', 'la', 'gata', 'en', 'el', 'resto', 'de', 'las', 'vacaciones', '.']","['Nosotros', 'traemos', 'la', 'gata', 'en', 'el', 'resto', 'de', 'las', 'vacaciones', '.']","[0, 12]",gender agreement,"evidence words = ""Nosotros"", ""gata""
indexes = 0, 3"
512,1384,c1ca2f5c15fe7682ab4f1503799d0f9f2300b495301aaa2735beefa62f7c64b6,SPA 3,El perfecto vacaciones es un vacacion muy reljante y bonito.,[El]{las}<ga:na:fm:ps:det:inan> [perfecto]{perfectas}<ga:na:fm:ps:adj:inan> vacaciones es [un]{una}<ga:fm:det:inan> [vacacion]{vacaciones}<in:s:gat:noun:inan> muy reljante y [bonito]{bonita}<ga:fm:adj:inan>.,[perfecto]{perfectas}<ga:na:fm:ps:adj:inan>,ga:na:fm:ps:adj:inan,perfectas,perfecto,"['las', 'perfectas', 'vacaciones', 'es', 'una', 'vacaciones', 'muy', 'reljante', 'y', 'bonita', '.']","['las', 'perfecto', 'vacaciones', 'es', 'una', 'vacaciones', 'muy', 'reljante', 'y', 'bonita', '.']","[1, 13]",gender and number agreement,"evidence words = ""las"", ""perfecto""
indexes = 0, 1"
683,1548,35dfbba951e96c672c60bdb33ffd2ad4523ea3a2e55a42404cd1451ac675b447,SPA 2,Es el mas azul playa en California y mi favorito playa en el mundo.,Es [el]{la}<ga:fm:det:inan> mas azul playa en California y mi [favorito]{favorita}<ga:fm:adj:inan> playa en el mundo.,[favorito]{favorita}<ga:fm:adj:inan>,ga:fm:adj:inan,favorita,favorito,"['Es', 'la', 'mas', 'azul', 'playa', 'en', 'California', 'y', 'mi', 'favorita', 'playa', 'en', 'el', 'mundo', '.']","['Es', 'la', 'mas', 'azul', 'playa', 'en', 'California', 'y', 'mi', 'favorito', 'playa', 'en', 'el', 'mundo', '.']","[9, 25]",gender agreement,"evidence words = favorito, playa
indexes = 10, 11"
1003,1138,86117767a230e4bc9a5f64dbbfc5fd6b08bc8d56670d47fb07c9056687f211f6,SPA 2,"

En la primera día, vamos al aeropuerto de Los Ángeles en la noche del aeropuerto de San Francisco.","En [la]{el}<ga:mf:det:aty:inan> [primera]{primer}<ga:mf:det:aty:inan> día, vamos al aeropuerto de Los Ángeles en la noche del aeropuerto de San Francisco.",[la]{el}<ga:mf:det:aty:inan>,ga:mf:det:aty:inan,el,la,"['En', 'el', 'primer', 'día', ',', 'vamos', 'al', 'aeropuerto', 'de', 'Los', 'Ángeles', 'en', 'la', 'noche', 'del', 'aeropuerto', 'de', 'San', 'Francisco', '.']","['En', 'la', 'primer', 'día', ',', 'vamos', 'al', 'aeropuerto', 'de', 'Los', 'Ángeles', 'en', 'la', 'noche', 'del', 'aeropuerto', 'de', 'San', 'Francisco', '.']","[1, 22]",gender agreement,"evidence words = primer, la
indexes = 1, 2"
