,paragraph_id,sentence_id,course,essay_new,annotated_sentence,anno_error_cnt,full_error_tag,order_tag,error_tag,correction,error,target,correction_index,error_type,source,new_error_type,source_sentence,raw_evidence
752,1239,c118e2b8db66bb95b7fdcac06a6ecb875a5ae95a2a1bda8b1384b98009a800d0,SPA 2,En la noche vamos a caminar sobre de la pueblo.,En la noche vamos a caminar sobre de [la]{el}<ga:mf:det:inan> pueblo.,1,[la]{el}<ga:mf:det:inan>,0,ga:mf:det:inan,el,la,"['En', 'la', 'noche', 'vamos', 'a', 'caminar', 'sobre', 'de', 'el', 'pueblo', '.']","[8, 20]",ga:mf,"['En', 'la', 'noche', 'vamos', 'a', 'caminar', 'sobre', 'de', 'la', 'pueblo', '.']",gender agreement,En la noche vamos a caminar sobre de la pueblo .,"evidence words = la, pueblo
indexes = 8, 9"
752,1239,92ea2a9b0168a7803494c06faed4953c1e1010ba8f2b5dc35c6197411d8acd36,SPA 2,"No es frío, yes las estrallas son muy facíl a ver.","No es frío, yes las estrallas son muy [facíl]{fáciles}<na:ps:adj:inan> a ver.",1,[facíl]{fáciles}<na:ps:adj:inan>,0,na:ps:adj:inan,fáciles,facíl,"['No', 'es', 'frío', ',', 'yes', 'las', 'estrallas', 'son', 'muy', 'fáciles', 'a', 'ver', '.']","[9, 23]",na:ps,"['No', 'es', 'frío', ',', 'yes', 'las', 'estrallas', 'son', 'muy', 'facíl', 'a', 'ver', '.']",number agreement,"No es frío , yes las estrallas son muy facíl a ver .","evidence words = frío , yes las estrallas son muy facíl a ver
indexes = 2, 3, 4, 5, 6, 7, 9, 10, 11"
752,1239,54ed55534df7cf4d2bf1e65f9cdae2492b6ef4558a1ed88d724d77b949faa91c,SPA 2,"En el próximo día, vamos a un ""hike"" para mucho tiempo de la día.","En el próximo día, vamos a un ""hike"" para mucho tiempo de [la]{el}<ga:mf:det:aty:inan> día.",1,[la]{el}<ga:mf:det:aty:inan>,0,ga:mf:det:aty:inan,el,la,"['En', 'el', 'próximo', 'día', ',', 'vamos', 'a', 'un', '""', 'hike', '""', 'para', 'mucho', 'tiempo', 'de', 'el', 'día', '.']","[15, 34]",ga:mf:det:aty,"['En', 'el', 'próximo', 'día', ',', 'vamos', 'a', 'un', '""', 'hike', '""', 'para', 'mucho', 'tiempo', 'de', 'la', 'día', '.']",gender agreement,"En el próximo día , vamos a un "" hike "" para mucho tiempo de la día .","evidence words = ""la"", ""día""
indexes = 19, 20"
752,1239,232833ebf3fcefc09eea4ab303457b6aed138c80801f249bee28cd2c7acdc198,SPA 2,"En este noche, salimos a un restaurante con bailando.","En [este]{esta}<ga:fm:det:inan> noche, salimos a un restaurante con bailando.",1,[este]{esta}<ga:fm:det:inan>,0,ga:fm:det:inan,esta,este,"['En', 'esta', 'noche', ',', 'salimos', 'a', 'un', 'restaurante', 'con', 'bailando', '.']","[1, 13]",ga:fm,"['En', 'este', 'noche', ',', 'salimos', 'a', 'un', 'restaurante', 'con', 'bailando', '.']",gender agreement,"En este noche , salimos a un restaurante con bailando .","evidence words = este, noche
indexes = 1, 2"
752,1239,f22550c5e810afc0e9de304639a4f59240918024fccb00468cb7efd7c85f5339,SPA 2,Quiero ver las cosas bonitas de la local area.,Quiero ver las cosas bonitas de [la]{el}<ga:mf:det:aty:inan> local area.,1,[la]{el}<ga:mf:det:aty:inan>,0,ga:mf:det:aty:inan,el,la,"['Quiero', 'ver', 'las', 'cosas', 'bonitas', 'de', 'el', 'local', 'area', '.']","[6, 17]",ga:mf:det:aty,"['Quiero', 'ver', 'las', 'cosas', 'bonitas', 'de', 'la', 'local', 'area', '.']",gender agreement,Quiero ver las cosas bonitas de la local area .,"evidence words = ""la"", ""local""
indexes = 7, 8"
753,1240,8f1d11997e73967ea63caf8e58546d1427e668f4c77a3e170b347b76eff66d70,SPA 2,"Me gusta ir Italia, Rome, Chino, Japan, y Hawaii.","Me gusta ir Italia, Rome, [Chino]{China}<ig:m:noun:inan>, Japan, y Hawaii.",1,[Chino]{China}<ig:m:noun:inan>,0,ig:m:noun:inan,China,Chino,"['Me', 'gusta', 'ir', 'Italia', ',', 'Rome', ',', 'China', ',', 'Japan', ',', 'y', 'Hawaii', '.']","[7, 22]",ig:m,"['Me', 'gusta', 'ir', 'Italia', ',', 'Rome', ',', 'Chino', ',', 'Japan', ',', 'y', 'Hawaii', '.']",gender agreement,"Me gusta ir Italia , Rome , Chino , Japan , y Hawaii .","evidence words = ""Chino , Japan""
indexes = 9, 10, 11, 12"
753,1240,de69f33eeca29f680c2b479369f910416273654a68f21f319634ece880d00886,SPA 2,"Yo quiero ir centre commercial, el theatre, las restaurants differientes, y tourista areas.","Yo quiero ir [centre]{centro}<ig:e:noun:inan> commercial, el theatre, las restaurants differientes, y tourista areas.",1,[centre]{centro}<ig:e:noun:inan>,0,ig:e:noun:inan,centro,centre,"['Yo', 'quiero', 'ir', 'centro', 'commercial', ',', 'el', 'theatre', ',', 'las', 'restaurants', 'differientes', ',', 'y', 'tourista', 'areas', '.']","[3, 21]",ig:e,"['Yo', 'quiero', 'ir', 'centre', 'commercial', ',', 'el', 'theatre', ',', 'las', 'restaurants', 'differientes', ',', 'y', 'tourista', 'areas', '.']",gender agreement,"Yo quiero ir centre commercial , el theatre , las restaurants differientes , y tourista areas .","evidence words = Yo, quiero, ir, centro, commercial, el, theatre, las, restaurants, differientes, y, tourista, areas
indexes = 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
754,1241,7d41323560f6726aeaa1667d58a3f6a2e06b6c62214761f7368fc0ab39ed763b,SPA 3,Mi lugar favorito es *CITY* en *STATE* Mexico.,Mi lugar favorito es [Puerta]{puerto}<ig:f:noun:inan> Vallarta en Jalisco Mexico.,1,[Puerta]{puerto}<ig:f:noun:inan>,0,ig:f:noun:inan,puerto,Puerta,"['Mi', 'lugar', 'favorito', 'es', 'puerto', 'Vallarta', 'en', 'Jalisco', 'Mexico', '.']","[4, 15]",ig:f,"['Mi', 'lugar', 'favorito', 'es', 'Puerta', 'Vallarta', 'en', 'Jalisco', 'Mexico', '.']",gender agreement,Mi lugar favorito es Puerta Vallarta en Jalisco Mexico .,"evidence words = ""Puerta Vallarta"", indexes = 4,5"
754,1241,eba1e75ed8e0efd1177a678d666504e6cf68aa71f20e94da19bd0090dbc934a7,SPA 3,"En *CITY*, son muchas cosas que hacer.","En [Puerta]{puerto}<ig:f:noun:inan> Vallarta, son muchas cosas que hacer.",1,[Puerta]{puerto}<ig:f:noun:inan>,0,ig:f:noun:inan,puerto,Puerta,"['En', 'puerto', 'Vallarta', ',', 'son', 'muchas', 'cosas', 'que', 'hacer', '.']","[1, 12]",ig:f,"['En', 'Puerta', 'Vallarta', ',', 'son', 'muchas', 'cosas', 'que', 'hacer', '.']",gender agreement,"En Puerta Vallarta , son muchas cosas que hacer .","evidence words = ""En"", ""Puerta"", ""Vallarta""
indexes = 0, 1, 2"
754,1241,3327f922cb62f45780b068734c90126b7303e75b75bee17c5595f2c6742a00c2,SPA 3,"En mi vacacion, haceria muchas cosas son divertidas.","En mi [vacacion]{vacaciones}<in:s:noun:inan>, haceria muchas cosas son divertidas.",1,[vacacion]{vacaciones}<in:s:noun:inan>,0,in:s:noun:inan,vacaciones,vacacion,"['En', 'mi', 'vacaciones', ',', 'haceria', 'muchas', 'cosas', 'son', 'divertidas', '.']","[2, 13]",in:s,"['En', 'mi', 'vacacion', ',', 'haceria', 'muchas', 'cosas', 'son', 'divertidas', '.']",number agreement,"En mi vacacion , haceria muchas cosas son divertidas .","evidence words = ""mi"", ""vacacion"", 
indexes = 1, 2"
754,1241,1d7d5a1c69639976fa360b8d54b3579121bf53f7499e14919c58da6bf02a363f,SPA 3,"Primero, planaria mi vacacion por un mes y traeria mi madre, mi padre, y mis amigos.","Primero, planaria mi [vacacion]{vacaciones}<in:s:noun:inan> por un mes y traeria mi madre, mi padre, y mis amigos.",1,[vacacion]{vacaciones}<in:s:noun:inan>,0,in:s:noun:inan,vacaciones,vacacion,"['Primero', ',', 'planaria', 'mi', 'vacaciones', 'por', 'un', 'mes', 'y', 'traeria', 'mi', 'madre', ',', 'mi', 'padre', ',', 'y', 'mis', 'amigos', '.']","[4, 25]",in:s,"['Primero', ',', 'planaria', 'mi', 'vacacion', 'por', 'un', 'mes', 'y', 'traeria', 'mi', 'madre', ',', 'mi', 'padre', ',', 'y', 'mis', 'amigos', '.']",number agreement,"Primero , planaria mi vacacion por un mes y traeria mi madre , mi padre , y mis amigos .","evidence words = ""mi"", ""vacacion""
indexes = 4, 3"
754,1241,4da489ae02f97c67a8eaa32a24727ab5d46931d776bd0b78b12b61206334e187,SPA 3,"En el primer dia tambien, descansaria mucho detras de los palmas y nadaria lenta en la piscina.","En el primer dia tambien, descansaria mucho detras de [los]{las}<ga:fm:det:inan> palmas y nadaria lenta en la piscina.",1,[los]{las}<ga:fm:det:inan>,0,ga:fm:det:inan,las,los,"['En', 'el', 'primer', 'dia', 'tambien', ',', 'descansaria', 'mucho', 'detras', 'de', 'las', 'palmas', 'y', 'nadaria', 'lenta', 'en', 'la', 'piscina', '.']","[10, 30]",ga:fm,"['En', 'el', 'primer', 'dia', 'tambien', ',', 'descansaria', 'mucho', 'detras', 'de', 'los', 'palmas', 'y', 'nadaria', 'lenta', 'en', 'la', 'piscina', '.']",gender agreement,"En el primer dia tambien , descansaria mucho detras de los palmas y nadaria lenta en la piscina .","evidence words = primer, dia, los, palmas
indexes = 2, 3, 15, 16"
754,1241,a8ca4a843637ae0d93b5d75be165841b8e975609fda7bca1d490801b29a94852,SPA 3,"La proxima semana, yo visitaria mi abuelo, mis tias, y mis primos en sus casas en *CITY*.","La proxima semana, yo visitaria mi abuelo, mis tias, y mis primos en sus casas en [Puerta]{puerto}<ig:f:noun:inan> Vallarta.",1,[Puerta]{puerto}<ig:f:noun:inan>,0,ig:f:noun:inan,puerto,Puerta,"['La', 'proxima', 'semana', ',', 'yo', 'visitaria', 'mi', 'abuelo', ',', 'mis', 'tias', ',', 'y', 'mis', 'primos', 'en', 'sus', 'casas', 'en', 'puerto', 'Vallarta', '.']","[19, 42]",ig:f,"['La', 'proxima', 'semana', ',', 'yo', 'visitaria', 'mi', 'abuelo', ',', 'mis', 'tias', ',', 'y', 'mis', 'primos', 'en', 'sus', 'casas', 'en', 'Puerta', 'Vallarta', '.']",gender agreement,"La proxima semana , yo visitaria mi abuelo , mis tias , y mis primos en sus casas en Puerta Vallarta .","evidence words = ""Puerta Vallarta"", indexes = 21, 22"
754,1241,f5ee808320e3b9e2ce1e9715b7127531fcf1798585d47679a08b40c8db3f799c,SPA 3,"Tambien ese semana, caminaria en las montanas de *CITY* con mis padres y mis amigos.","Tambien [ese]{esa}<ga:fm:det:inan> semana, caminaria en las montanas de Puerta Vallarta con mis padres y mis amigos.",1,[ese]{esa}<ga:fm:det:inan>,0,ga:fm:det:inan,esa,ese,"['Tambien', 'esa', 'semana', ',', 'caminaria', 'en', 'las', 'montanas', 'de', 'Puerta', 'Vallarta', 'con', 'mis', 'padres', 'y', 'mis', 'amigos', '.']","[1, 20]",ga:fm,"['Tambien', 'ese', 'semana', ',', 'caminaria', 'en', 'las', 'montanas', 'de', 'Puerta', 'Vallarta', 'con', 'mis', 'padres', 'y', 'mis', 'amigos', '.']",gender agreement,"Tambien ese semana , caminaria en las montanas de Puerta Vallarta con mis padres y mis amigos .","evidence words = Tambien, ese, semana
indexes = 0, 1, 2"
754,1241,35ec0e6d44d84885c1cf7dd79fd152b1dff4dfac54f3f9acc56cf624e81c9e94,SPA 3,Veo un tigre un vez!,Veo un tigre [un]{una}<ga:fm:det:inan> vez!,1,[un]{una}<ga:fm:det:inan>,0,ga:fm:det:inan,una,un,"['Veo', 'un', 'tigre', 'una', 'vez', '!']","[3, 10]",ga:fm,"['Veo', 'un', 'tigre', 'un', 'vez', '!']",gender agreement,Veo un tigre un vez !,"evidence words = ""un"", ""vez""
indexes = 1, 4"
755,1242,b72dec4c64ca2ec7734a9e244e82c45ac392726e22859d122b3610fef4cd871f,SPA 3,"Las vacaciones ideales para mi serían compuesto de una mezcla de muchas actividades y excursiones diferentes, pero también tendría tiempo para la relajación.","Las vacaciones ideales para mi serían [compuesto]{compuestas}<ga:na:fm:ps:adj:inan> de una mezcla de muchas actividades y excursiones diferentes, pero también tendría tiempo para la relajación.",1,[compuesto]{compuestas}<ga:na:fm:ps:adj:inan>,0,ga:na:fm:ps:adj:inan,compuestas,compuesto,"['Las', 'vacaciones', 'ideales', 'para', 'mi', 'serían', 'compuestas', 'de', 'una', 'mezcla', 'de', 'muchas', 'actividades', 'y', 'excursiones', 'diferentes', ',', 'pero', 'también', 'tendría', 'tiempo', 'para', 'la', 'relajación', '.']","[6, 32]",ga:na:fm:ps,"['Las', 'vacaciones', 'ideales', 'para', 'mi', 'serían', 'compuesto', 'de', 'una', 'mezcla', 'de', 'muchas', 'actividades', 'y', 'excursiones', 'diferentes', ',', 'pero', 'también', 'tendría', 'tiempo', 'para', 'la', 'relajación', '.']",gender and number agreement,"Las vacaciones ideales para mi serían compuesto de una mezcla de muchas actividades y excursiones diferentes , pero también tendría tiempo para la relajación .","evidence words = Las, vacaciones, ideales, compuesto
indexes = 0, 1, 2, 6"
756,1244,e6685b29c770e6969168ae3a34f9cbaba83d24deee4e1209863822d894a9a12c,SPA 1,"Mi vacación perfecta incluye a mis amigos y amigas, o a mi familia.","Mi [vacación]{vacaciones}<in:s:noun:inan> perfecta incluye a mis amigos y amigas, o a mi familia.",1,[vacación]{vacaciones}<in:s:noun:inan>,0,in:s:noun:inan,vacaciones,vacación,"['Mi', 'vacaciones', 'perfecta', 'incluye', 'a', 'mis', 'amigos', 'y', 'amigas', ',', 'o', 'a', 'mi', 'familia', '.']","[1, 17]",in:s,"['Mi', 'vacación', 'perfecta', 'incluye', 'a', 'mis', 'amigos', 'y', 'amigas', ',', 'o', 'a', 'mi', 'familia', '.']",number agreement,"Mi vacación perfecta incluye a mis amigos y amigas , o a mi familia .","evidence words = ""Mi"", ""vacación""
indexes = 0, 1"
756,1244,ab105191b0369ff10bb3c60f86d7821eaa4a145adf5bb075d3ded6efad17b3ed,SPA 1,"Estas serian unas buenas oportunidades para ver diferente partes del mundo, aunque solamente por un poco de tiempo.","Estas serian unas buenas oportunidades para ver [diferente]{diferentes}<na:ps:det:inan> partes del mundo, aunque solamente por un poco de tiempo.",1,[diferente]{diferentes}<na:ps:det:inan>,0,na:ps:det:inan,diferentes,diferente,"['Estas', 'serian', 'unas', 'buenas', 'oportunidades', 'para', 'ver', 'diferentes', 'partes', 'del', 'mundo', ',', 'aunque', 'solamente', 'por', 'un', 'poco', 'de', 'tiempo', '.']","[7, 28]",na:ps,"['Estas', 'serian', 'unas', 'buenas', 'oportunidades', 'para', 'ver', 'diferente', 'partes', 'del', 'mundo', ',', 'aunque', 'solamente', 'por', 'un', 'poco', 'de', 'tiempo', '.']",number agreement,"Estas serian unas buenas oportunidades para ver diferente partes del mundo , aunque solamente por un poco de tiempo .","evidence words = unas, partes, diferente
indexes = 2, 9, 10"
757,1245,75edcbfebe5071716408c213c0bcea2a5ab237def6350e4933d74b34f2fd169e,SPA 1,"Después, iré a un restaurante y comer muchos barbacoa.","Después, iré a un restaurante y comer [muchos]{mucha}<ga:na:fm:sp:det:inan> barbacoa.",1,[muchos]{mucha}<ga:na:fm:sp:det:inan>,0,ga:na:fm:sp:det:inan,mucha,muchos,"['Después', ',', 'iré', 'a', 'un', 'restaurante', 'y', 'comer', 'mucha', 'barbacoa', '.']","[8, 20]",ga:na:fm:sp,"['Después', ',', 'iré', 'a', 'un', 'restaurante', 'y', 'comer', 'muchos', 'barbacoa', '.']",gender and number agreement,"Después , iré a un restaurante y comer muchos barbacoa .","evidence words = ""comer"", ""muchos"", ""barbacoa""
indexes = 7, 8, 9"
758,1246,7dc3e9f63b86c064297ad4fc9fea3b8b81dbcc1f0b75ff055324a32def0c27fa,SPA 2,No me gusta la avión por que paso mucho tiempo en aeropuerto si viajo en avión.,No me gusta [la]{el}<ga:mf:det:inan> avión por que paso mucho tiempo en aeropuerto si viajo en avión.,1,[la]{el}<ga:mf:det:inan>,0,ga:mf:det:inan,el,la,"['No', 'me', 'gusta', 'el', 'avión', 'por', 'que', 'paso', 'mucho', 'tiempo', 'en', 'aeropuerto', 'si', 'viajo', 'en', 'avión', '.']","[3, 21]",ga:mf,"['No', 'me', 'gusta', 'la', 'avión', 'por', 'que', 'paso', 'mucho', 'tiempo', 'en', 'aeropuerto', 'si', 'viajo', 'en', 'avión', '.']",gender agreement,No me gusta la avión por que paso mucho tiempo en aeropuerto si viajo en avión .,"evidence words = ""gusta la avión"", ""indexes = 2, 3, 4"""
758,1246,0e57f78acc72a3769a6f395d13e83452d94a2d4f15a04a5786d45faefeeadfe3,SPA 2,No me gusta vivir en el hotel por que vivir en casa es como viajar pero vivir en el hotel es como el negocios.,No me gusta vivir en el hotel por que vivir en casa es como viajar pero vivir en el hotel es como el [negocios]{negocio}<na:sp:noun:inan>.,1,[negocios]{negocio}<na:sp:noun:inan>,0,na:sp:noun:inan,negocio,negocios,"['No', 'me', 'gusta', 'vivir', 'en', 'el', 'hotel', 'por', 'que', 'vivir', 'en', 'casa', 'es', 'como', 'viajar', 'pero', 'vivir', 'en', 'el', 'hotel', 'es', 'como', 'el', 'negocio', '.']","[23, 49]",na:sp,"['No', 'me', 'gusta', 'vivir', 'en', 'el', 'hotel', 'por', 'que', 'vivir', 'en', 'casa', 'es', 'como', 'viajar', 'pero', 'vivir', 'en', 'el', 'hotel', 'es', 'como', 'el', 'negocios', '.']",number agreement,No me gusta vivir en el hotel por que vivir en casa es como viajar pero vivir en el hotel es como el negocios .,"evidence words = el, negocios
indexes = 25, 26"
758,1246,a3289d451819fb47b9e77dca275a714c083d8ba5f5383a636e14c70745c7694d,SPA 2,"Yo salir de mi casa en tren por que vivir en Davis, un ciudad muy pequeña.","Yo salir de mi casa en tren por que vivir en Davis, [un]{una}<ga:fm:det:inan> ciudad muy pequeña.",1,[un]{una}<ga:fm:det:inan>,0,ga:fm:det:inan,una,un,"['Yo', 'salir', 'de', 'mi', 'casa', 'en', 'tren', 'por', 'que', 'vivir', 'en', 'Davis', ',', 'una', 'ciudad', 'muy', 'pequeña', '.']","[13, 32]",ga:fm,"['Yo', 'salir', 'de', 'mi', 'casa', 'en', 'tren', 'por', 'que', 'vivir', 'en', 'Davis', ',', 'un', 'ciudad', 'muy', 'pequeña', '.']",gender agreement,"Yo salir de mi casa en tren por que vivir en Davis , un ciudad muy pequeña .","evidence words = un, ciudad
indexes = 13, 14"
758,1246,f168b736a1b28ba4567581d38c3c9566897c792d4ed9c153d3c9065a591c0866,SPA 2,"Después de llegar, yo le llamo a mis amigos en Bay Area.","Después de llegar, yo [le]{les}<na:ps:pron:an> llamo a mis amigos en Bay Area.",1,[le]{les}<na:ps:pron:an>,0,na:ps:pron:an,les,le,"['Después', 'de', 'llegar', ',', 'yo', 'les', 'llamo', 'a', 'mis', 'amigos', 'en', 'Bay', 'Area', '.']","[5, 20]",na:ps,"['Después', 'de', 'llegar', ',', 'yo', 'le', 'llamo', 'a', 'mis', 'amigos', 'en', 'Bay', 'Area', '.']",number agreement,"Después de llegar , yo le llamo a mis amigos en Bay Area .","evidence words = ""yo"", ""llamo"", ""a"", ""mis"", ""amigos""
indexes = 3, 4, 5, 6, 7"
758,1246,88c481b9054ba72a58c73524222ee1fda3bf5d67d3beed1681f41787dd581923,SPA 2,"Por la noche, cuando no hace el sol, nosotros vamos a ver la película, cenamos en una café ye volvemos la casa de un amigo.","Por la noche, cuando no hace el sol, nosotros vamos a ver la película, cenamos en [una]{un}<ga:mf:det:inan> café ye volvemos la casa de un amigo.",1,[una]{un}<ga:mf:det:inan>,0,ga:mf:det:inan,un,una,"['Por', 'la', 'noche', ',', 'cuando', 'no', 'hace', 'el', 'sol', ',', 'nosotros', 'vamos', 'a', 'ver', 'la', 'película', ',', 'cenamos', 'en', 'un', 'café', 'ye', 'volvemos', 'la', 'casa', 'de', 'un', 'amigo', '.']","[19, 49]",ga:mf,"['Por', 'la', 'noche', ',', 'cuando', 'no', 'hace', 'el', 'sol', ',', 'nosotros', 'vamos', 'a', 'ver', 'la', 'película', ',', 'cenamos', 'en', 'una', 'café', 'ye', 'volvemos', 'la', 'casa', 'de', 'un', 'amigo', '.']",gender agreement,"Por la noche , cuando no hace el sol , nosotros vamos a ver la película , cenamos en una café ye volvemos la casa de un amigo .","evidence words = café, una, 
indexes = 28, 29"
759,1248,d15e52f208bb4d3ecb427c7a9e65cde32e3c63c2cfb7e482520aad5300db025c,SPA 1,Me gusta ir de compras con mis amigas los sábado de la tarde.,Me gusta ir de compras con mis amigas los [sábado]{sábados}<na:ps:noun:inan> de la tarde.,1,[sábado]{sábados}<na:ps:noun:inan>,0,na:ps:noun:inan,sábados,sábado,"['Me', 'gusta', 'ir', 'de', 'compras', 'con', 'mis', 'amigas', 'los', 'sábados', 'de', 'la', 'tarde', '.']","[9, 24]",na:ps,"['Me', 'gusta', 'ir', 'de', 'compras', 'con', 'mis', 'amigas', 'los', 'sábado', 'de', 'la', 'tarde', '.']",number agreement,Me gusta ir de compras con mis amigas los sábado de la tarde .,"evidence words = ""los"", ""sábado"", ""de""
indexes = 8,9,10"
759,1248,b243ea435e4a22b6e5aa9193fd4481c9846d4f5ab09a2c463cdedd004517bf92,SPA 1,"A veces, me gusta hablo por teléfono con mi familia, mi padres y mi hermano.","A veces, me gusta hablo por teléfono con mi familia, [mi]{mis}<na:ps:det:an> padres y mi hermano.",1,[mi]{mis}<na:ps:det:an>,0,na:ps:det:an,mis,mi,"['A', 'veces', ',', 'me', 'gusta', 'hablo', 'por', 'teléfono', 'con', 'mi', 'familia', ',', 'mis', 'padres', 'y', 'mi', 'hermano', '.']","[12, 31]",na:ps,"['A', 'veces', ',', 'me', 'gusta', 'hablo', 'por', 'teléfono', 'con', 'mi', 'familia', ',', 'mi', 'padres', 'y', 'mi', 'hermano', '.']",number agreement,"A veces , me gusta hablo por teléfono con mi familia , mi padres y mi hermano .","evidence words = mi, padres, mi, hermano
indexes = 12, 13, 15, 16"
760,1249,7d6a8a8448aa8e8b3dc86f154677d329fe004b3f52f5425052b40d28aa75e585,SPA 3,"Para la vacaciona perfecta, iría a Costa Rica.","Para la [vacaciona]{vacaciones}<ig:in:f:s:noun:inan> perfecta, iría a Costa Rica.",1,[vacaciona]{vacaciones}<ig:in:f:s:noun:inan>,0,ig:in:f:s:noun:inan,vacaciones,vacaciona,"['Para', 'la', 'vacaciones', 'perfecta', ',', 'iría', 'a', 'Costa', 'Rica', '.']","[2, 13]",ig:in:f:s,"['Para', 'la', 'vacaciona', 'perfecta', ',', 'iría', 'a', 'Costa', 'Rica', '.']",gender agreement,"Para la vacaciona perfecta , iría a Costa Rica .","evidence words = Para, la, vacaciona, perfecta, iría, a, Costa, Rica
indexes = 0, 1, 2, 3, 4, 5, 6, 7"
760,1249,672d0cb8d27a7d8e65bd78c8070e96eb4bbebe60b8766b6e011f50efa51ce254,SPA 3,Me encantaría nadar en el océano con los tortugas y delfines.,Me encantaría nadar en el océano con [los]{las}<ga:fm:det:inan> tortugas y delfines.,1,[los]{las}<ga:fm:det:inan>,0,ga:fm:det:inan,las,los,"['Me', 'encantaría', 'nadar', 'en', 'el', 'océano', 'con', 'las', 'tortugas', 'y', 'delfines', '.']","[7, 20]",ga:fm,"['Me', 'encantaría', 'nadar', 'en', 'el', 'océano', 'con', 'los', 'tortugas', 'y', 'delfines', '.']",gender agreement,Me encantaría nadar en el océano con los tortugas y delfines .,"evidence words = los, tortugas
indexes = 10, 11"
760,1249,7537247fa48b5dde3187fdc197a6c36d7ab720847971c574c09ec3e2f701905d,SPA 3,Yo he querido comer Casado para todo mi vida.,Yo he querido comer Casado para [todo]{toda}<ga:fm:det:inan> mi vida.,1,[todo]{toda}<ga:fm:det:inan>,0,ga:fm:det:inan,toda,todo,"['Yo', 'he', 'querido', 'comer', 'Casado', 'para', 'toda', 'mi', 'vida', '.']","[6, 17]",ga:fm,"['Yo', 'he', 'querido', 'comer', 'Casado', 'para', 'todo', 'mi', 'vida', '.']",gender agreement,Yo he querido comer Casado para todo mi vida .,"evidence words = todo, mi, vida
indexes = 7, 8, 9"
760,1249,9651f3309c20f6366fda15f2d4adab6b44e092029a57b8880d7ef980edb2636d,SPA 3,"Después, buscaría para una fiesta en la playa con música y bebidos y yo bailaría.","Después, buscaría para una fiesta en la playa con música y [bebidos]{bebidas}<ig:m:noun:inan> y yo bailaría.",1,[bebidos]{bebidas}<ig:m:noun:inan>,0,ig:m:noun:inan,bebidas,bebidos,"['Después', ',', 'buscaría', 'para', 'una', 'fiesta', 'en', 'la', 'playa', 'con', 'música', 'y', 'bebidas', 'y', 'yo', 'bailaría', '.']","[12, 30]",ig:m,"['Después', ',', 'buscaría', 'para', 'una', 'fiesta', 'en', 'la', 'playa', 'con', 'música', 'y', 'bebidos', 'y', 'yo', 'bailaría', '.']",gender agreement,"Después , buscaría para una fiesta en la playa con música y bebidos y yo bailaría .","evidence words = ""música"", ""y"", ""bebidos"", ""y""
indexes = 11, 12, 13, 15"
760,1249,e428a894f4a383637476ffce75df2d01ebb89ca3f0ed4c2d3cb1d005b6c313f0,SPA 3,"He oído que los montanas en Costa Rica son hermosas con muchas flores, plantas, árboles, y animales.","He oído que [los]{las}<ga:fm:det:inan> montanas en Costa Rica son hermosas con muchas flores, plantas, árboles, y animales.",1,[los]{las}<ga:fm:det:inan>,0,ga:fm:det:inan,las,los,"['He', 'oído', 'que', 'las', 'montanas', 'en', 'Costa', 'Rica', 'son', 'hermosas', 'con', 'muchas', 'flores', ',', 'plantas', ',', 'árboles', ',', 'y', 'animales', '.']","[3, 25]",ga:fm,"['He', 'oído', 'que', 'los', 'montanas', 'en', 'Costa', 'Rica', 'son', 'hermosas', 'con', 'muchas', 'flores', ',', 'plantas', ',', 'árboles', ',', 'y', 'animales', '.']",gender agreement,"He oído que los montanas en Costa Rica son hermosas con muchas flores , plantas , árboles , y animales .","evidence words = ""que"", ""los"", ""montanas""
indexes = 2, 3, 4"
760,1249,f1dc695382a34db2a83281d500481ae2a87cd1808406a06bc6cf90ab3e83259f,SPA 3,"Cada día, nadaría en la mañana antes de la desayuno y después jugaría fútbol en la playa con mis amigos nuevos.","Cada día, nadaría en la mañana antes de [la]{el}<ga:mf:det:inan> desayuno y después jugaría fútbol en la playa con mis amigos nuevos.",1,[la]{el}<ga:mf:det:inan>,0,ga:mf:det:inan,el,la,"['Cada', 'día', ',', 'nadaría', 'en', 'la', 'mañana', 'antes', 'de', 'el', 'desayuno', 'y', 'después', 'jugaría', 'fútbol', 'en', 'la', 'playa', 'con', 'mis', 'amigos', 'nuevos', '.']","[9, 33]",ga:mf,"['Cada', 'día', ',', 'nadaría', 'en', 'la', 'mañana', 'antes', 'de', 'la', 'desayuno', 'y', 'después', 'jugaría', 'fútbol', 'en', 'la', 'playa', 'con', 'mis', 'amigos', 'nuevos', '.']",gender agreement,"Cada día , nadaría en la mañana antes de la desayuno y después jugaría fútbol en la playa con mis amigos nuevos .","evidence words = desayuno, la
indexes = 14, 13"
